Dimensions.Height,Dimensions.Length,Dimensions.Width,Engine Information.Driveline,Engine Information.Engine Type,Engine Information.Hybrid,Engine Information.Number of Forward Gears,Engine Information.Transmission,Fuel Information.City mpg,Fuel Information.Fuel Type,Fuel Information.Highway mpg,Identification.Classification,Identification.ID,Identification.Make,Identification.Model Year,Identification.Year,Engine Information.Engine Statistics.Horsepower,Engine Information.Engine Statistics.Torque,,,,,Media Fuel Info City,"Ponderi Fuel Info (RANDBETWEEN(0,10)","SUMPRODUCT(Fuel Info, ponderi)",SUM(ponderi),Media ponderat?,Mediana Fuel Info,Modul Fuel Info,Abaterea standard Fuel Info
165,233,41,Front-wheel drive,Ford 2.5L 4 Cylinder 175 hp 172 ft-lbs,TRUE,6,6 Speed Manual,22,Gasoline,31,Manual transmission,2010 Ford Fusion S,Ford,2010 Ford Fusion,2010,175,172,,,,,,6,,,,,,
165,233,41,Front-wheel drive,Ford 2.5L 4 Cylinder 175 hp 172 ft-lbs,TRUE,6,6 Speed Automatic,23,Gasoline,34,Automatic transmission,2010 Ford Fusion S AT,Ford,2010 Ford Fusion,2010,175,172,,,,,,1,,,,,,
165,233,41,Front-wheel drive,Ford 2.5L 4 Cylinder 175 hp 172 ft-lbs,TRUE,6,6 Speed Manual,22,Gasoline,29,Manual transmission,2010 Ford Fusion SE,Ford,2010 Ford Fusion,2010,175,172,,,,,,9,,,,,,
165,233,41,Front-wheel drive,Ford 3.0L 6 Cylinder 240 hp 228 ft-lbs FFV,TRUE,6,6 Speed Automatic Select Shift,19,Gasoline,27,Automatic transmission,2010 Ford Fusion V6 SE,Ford,2010 Ford Fusion,2010,240,228,,,,,,1,,,,,,
165,233,41,Front-wheel drive,Ford 2.5L 4 Cylinder 175 hp 172 ft-lbs,TRUE,6,6 Speed Automatic,22,Gasoline,31,Automatic transmission,2010 Ford Fusion SEL,Ford,2010 Ford Fusion,2010,175,172,,,,,,6,,,,,,
165,233,41,Front-wheel drive,Ford 3.0L 6 Cylinder 240 hp 228 ft-lbs FFV,TRUE,6,6 Speed Automatic Select Shift,13,E85,20,Automatic transmission,2010 Ford Fusion V6 SEL,Ford,2010 Ford Fusion,2010,240,228,,,,,,1,,,,,,
165,233,41,All-wheel drive,Ford 3.0L 6 Cylinder 240 hp 228 ft-lbs FFV,TRUE,6,6 Speed Automatic Select Shift,13,E85,18,Automatic transmission,2010 Ford Fusion V6 SEL AWD,Ford,2010 Ford Fusion,2010,240,228,,,,,,8,,,,,,
165,233,41,Front-wheel drive,Ford 3.5L 6 Cylinder 263 hp 249 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,27,Automatic transmission,2010 Ford Fusion Sport,Ford,2010 Ford Fusion,2010,263,249,,,,,,10,,,,,,
165,233,41,All-wheel drive,Ford 3.5L 6 Cylinder 263 hp 249 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,17,Gasoline,24,Automatic transmission,2010 Ford Fusion Sport AWD,Ford,2010 Ford Fusion,2010,263,249,,,,,,8,,,,,,
165,233,41,Front-wheel drive,Ford 2.5L 4 Cylinder 175 hp 172 ft-lbs,TRUE,6,6 Speed Automatic,22,Gasoline,31,Automatic transmission,2010 Ford Fusion SE AT,Ford,2010 Ford Fusion,2010,175,172,,,,,,4,,,,,,
180,176,239,Front-wheel drive,Kia 2.0L 4 Cylinder 156 hp 144 ft-lbs,TRUE,6,6 Speed Manual,25,Gasoline,34,Manual transmission,2011 Kia Forte LX,Kia,2011 Kia Forte,2011,156,144,,,,,,5,,,,,,
180,176,239,Front-wheel drive,Kia 2.0L 4 Cylinder 156 hp 144 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,26,Gasoline,36,Automatic transmission,2011 Kia Forte LX AT,Kia,2011 Kia Forte,2011,156,144,,,,,,9,,,,,,
180,176,239,Front-wheel drive,Kia 2.0L 4 Cylinder 156 hp 144 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,26,Gasoline,36,Automatic transmission,2011 Kia Forte EX,Kia,2011 Kia Forte,2011,156,144,,,,,,5,,,,,,
180,176,239,Front-wheel drive,Kia 2.4L 4 Cylinder 173 hp 168 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,23,Gasoline,32,Automatic transmission,2011 Kia Forte SX,Kia,2011 Kia Forte,2011,173,168,,,,,,6,,,,,,
201,221,191,All-wheel drive,Audi 3.0L 6 Cylinder 225 hp 406 ft-lbs Turbo Diesel,TRUE,6,6 Speed Automatic Select Shift,17,Diesel fuel,25,Automatic transmission,2009 Audi Q7 3.0 TDI,Audi,2009 Audi Q7,2009,225,406,,,,,,1,,,,,,
180,244,239,Front-wheel drive,Kia 2.0L 4 Cylinder 156 hp 144 ft-lbs,TRUE,6,6 Speed Manual,25,Gasoline,34,Manual transmission,2011 Kia Forte 5-Door EX,Kia,2011 Kia Forte 5-Door,2011,156,144,,,,,,2,,,,,,
180,244,239,Front-wheel drive,Kia 2.0L 4 Cylinder 156 hp 144 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,26,Gasoline,36,Automatic transmission,2011 Kia Forte 5-Door EX AT,Kia,2011 Kia Forte 5-Door,2011,156,144,,,,,,4,,,,,,
180,244,239,Front-wheel drive,Kia 2.4L 4 Cylinder 173 hp 168 ft-lbs,TRUE,6,6 Speed Manual,22,Gasoline,32,Manual transmission,2011 Kia Forte 5-Door SX,Kia,2011 Kia Forte 5-Door,2011,173,168,,,,,,5,,,,,,
180,244,239,Front-wheel drive,Kia 2.4L 4 Cylinder 173 hp 168 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,23,Gasoline,32,Automatic transmission,2011 Kia Forte 5-Door SX AT,Kia,2011 Kia Forte 5-Door,2011,173,168,,,,,,5,,,,,,
119,128,229,Front-wheel drive,Kia 2.0L 4 Cylinder 156 hp 144 ft-lbs,TRUE,6,6 Speed Manual,24,Gasoline,33,Manual transmission,2011 Kia Forte Koup EX,Kia,2011 Kia Forte Koup,2011,156,144,,,,,,0,,,,,,
119,128,229,Front-wheel drive,Kia 2.0L 4 Cylinder 156 hp 144 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,25,Gasoline,34,Automatic transmission,2011 Kia Forte Koup EX AT,Kia,2011 Kia Forte Koup,2011,156,144,,,,,,9,,,,,,
119,128,229,Front-wheel drive,Kia 2.4L 4 Cylinder 173 hp 168 ft-lbs,TRUE,6,6 Speed Manual,22,Gasoline,32,Manual transmission,2011 Kia Forte Koup SX,Kia,2011 Kia Forte Koup,2011,173,168,,,,,,1,,,,,,
119,128,229,Front-wheel drive,Kia 2.4L 4 Cylinder 173 hp 168 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,23,Gasoline,31,Automatic transmission,2011 Kia Forte Koup SX AT,Kia,2011 Kia Forte Koup,2011,173,168,,,,,,0,,,,,,
228,82,138,All-wheel drive,Audi 4.2L 8 cylinder 420hp 317 ft-lbs,TRUE,6,6 Speed Manual,11,Gasoline,20,Manual transmission,2011 Audi R8 Coupe 4.2,Audi,2011 Audi R8 Coupe,2011,420,317,,,,,,3,,,,,,
228,82,138,All-wheel drive,Audi 5.2L 10 Cylinder 525 hp 391 ft-lbs,TRUE,6,6 Speed Manual,12,Gasoline,19,Manual transmission,2011 Audi R8 Coupe 5.2,Audi,2011 Audi R8 Coupe,2011,525,391,,,,,,9,,,,,,
180,176,239,Front-wheel drive,Kia 2.0L 4 Cylinder 156 hp 144 ft-lbs,TRUE,5,5 Speed Manual,25,Gasoline,34,Manual transmission,2010 Kia Forte LX,Kia,2010 Kia Forte,2010,156,144,,,,,,5,,,,,,
180,176,239,Front-wheel drive,Kia 2.0L 4 Cylinder 156 hp 144 ft-lbs,TRUE,4,4 Speed Automatic Select Shift,25,Gasoline,34,Automatic transmission,2010 Kia Forte LX AT,Kia,2010 Kia Forte,2010,156,144,,,,,,8,,,,,,
180,176,239,Front-wheel drive,Kia 2.0L 4 Cylinder 156 hp 144 ft-lbs,TRUE,5,5 Speed Manual,25,Gasoline,34,Manual transmission,2010 Kia Forte EX,Kia,2010 Kia Forte,2010,156,144,,,,,,3,,,,,,
180,176,239,Front-wheel drive,Kia 2.0L 4 Cylinder 156 hp 144 ft-lbs,TRUE,4,4 Speed Automatic Select Shift,25,Gasoline,34,Automatic transmission,2010 Kia Forte EX 4sp. AT,Kia,2010 Kia Forte,2010,156,144,,,,,,1,,,,,,
180,176,239,Front-wheel drive,Kia 2.0L 4 Cylinder 156 hp 144 ft-lbs,TRUE,5,5 Speed Automatic,27,Gasoline,36,Automatic transmission,2010 Kia Forte EX 5sp. AT,Kia,2010 Kia Forte,2010,156,144,,,,,,3,,,,,,
180,176,239,Front-wheel drive,Kia 2.4L 4 Cylinder 173 hp 168 ft-lbs,TRUE,6,6 Speed Manual,22,Gasoline,32,Manual transmission,2010 Kia Forte SX,Kia,2010 Kia Forte,2010,173,168,,,,,,9,,,,,,
180,176,239,Front-wheel drive,Kia 2.4L 4 Cylinder 173 hp 168 ft-lbs,TRUE,5,5 Speed Automatic,23,Gasoline,31,Automatic transmission,2010 Kia Forte SX AT,Kia,2010 Kia Forte,2010,173,168,,,,,,7,,,,,,
228,79,237,All-wheel drive,Audi 4.2L 8 cylinder 430 hp 316 ft-lbs,TRUE,6,6 Speed Manual,11,Gasoline,20,Manual transmission,2012 Audi R8 Coupe 4.2,Audi,2012 Audi R8 Coupe,2012,430,316,,,,,,4,,,,,,
228,83,237,All-wheel drive,Audi 5.2L 10 Cylinder 525 hp 391 ft-lbs,TRUE,6,6 Speed Manual,12,Gasoline,19,Manual transmission,2012 Audi R8 Coupe 5.2,Audi,2012 Audi R8 Coupe,2012,525,391,,,,,,1,,,,,,
238,133,229,Front-wheel drive,Hyundai 2.0L 4 cylinder 138 hp 136 ft-lbs,TRUE,4,4 Speed Automatic,23,Gasoline,30,Automatic transmission,2012 Hyundai Elantra Touring GLS AT,Hyundai,2012 Hyundai Elantra Touring,2012,138,136,,,,,,2,,,,,,
238,133,229,Front-wheel drive,Hyundai 2.0L 4 cylinder 138 hp 136 ft-lbs,TRUE,5,5 Speed Manual,23,Gasoline,31,Manual transmission,2012 Hyundai Elantra Touring GLS,Hyundai,2012 Hyundai Elantra Touring,2012,138,136,,,,,,5,,,,,,
238,133,229,Front-wheel drive,Hyundai 2.0L 4 cylinder 138 hp 136 ft-lbs,TRUE,5,5 Speed Manual,23,Gasoline,31,Manual transmission,2012 Hyundai Elantra Touring SE,Hyundai,2012 Hyundai Elantra Touring,2012,138,136,,,,,,7,,,,,,
238,133,229,Front-wheel drive,Hyundai 2.0L 4 cylinder 138 hp 136 ft-lbs,TRUE,4,4 Speed Automatic,23,Gasoline,30,Automatic transmission,2012 Hyundai Elantra Touring SE AT,Hyundai,2012 Hyundai Elantra Touring,2012,138,136,,,,,,0,,,,,,
238,123,229,Front-wheel drive,Hyundai 2.0L 4 cylinder 138 hp 136 ft-lbs,TRUE,5,5 Speed Manual,23,Gasoline,31,Manual transmission,2011 Hyundai Elantra Touring GLS,Hyundai,2011 Hyundai Elantra Touring,2011,138,136,,,,,,7,,,,,,
238,123,229,Front-wheel drive,Hyundai 2.0L 4 cylinder 138 hp 136 ft-lbs,TRUE,4,4 Speed Automatic,23,Gasoline,30,Automatic transmission,2011 Hyundai Elantra Touring SE AT,Hyundai,2011 Hyundai Elantra Touring,2011,138,136,,,,,,1,,,,,,
238,123,229,Front-wheel drive,Hyundai 2.0L 4 cylinder 138 hp 136 ft-lbs,TRUE,4,4 Speed Automatic,23,Gasoline,30,Automatic transmission,2011 Hyundai Elantra Touring GLS AT,Hyundai,2011 Hyundai Elantra Touring,2011,138,136,,,,,,0,,,,,,
238,123,229,Front-wheel drive,Hyundai 2.0L 4 cylinder 138 hp 136 ft-lbs,TRUE,5,5 Speed Manual,23,Gasoline,31,Manual transmission,2011 Hyundai Elantra Touring SE,Hyundai,2011 Hyundai Elantra Touring,2011,138,136,,,,,,2,,,,,,
238,123,229,Front-wheel drive,Hyundai 2.0L 4 cylinder 138 hp 136 ft-lbs,TRUE,5,5 Speed Manual,23,Gasoline,31,Manual transmission,2010 Hyundai Elantra Touring GLS,Hyundai,2010 Hyundai Elantra Touring,2010,138,136,,,,,,10,,,,,,
238,123,229,Front-wheel drive,Hyundai 2.0L 4 cylinder 138 hp 136 ft-lbs,TRUE,4,4 Speed Automatic,23,Gasoline,30,Automatic transmission,2010 Hyundai Elantra Touring GLS AT,Hyundai,2010 Hyundai Elantra Touring,2010,138,136,,,,,,9,,,,,,
238,123,229,Front-wheel drive,Hyundai 2.0L 4 cylinder 138 hp 136 ft-lbs,TRUE,5,5 Speed Manual,23,Gasoline,31,Manual transmission,2010 Hyundai Elantra Touring SE,Hyundai,2010 Hyundai Elantra Touring,2010,138,136,,,,,,9,,,,,,
238,123,229,Front-wheel drive,Hyundai 2.0L 4 cylinder 138 hp 136 ft-lbs,TRUE,4,4 Speed Automatic,23,Gasoline,30,Automatic transmission,2010 Hyundai Elantra Touring SE AT,Hyundai,2010 Hyundai Elantra Touring,2010,138,136,,,,,,7,,,,,,
238,123,229,Front-wheel drive,Hyundai 2.0L 4 cylinder 138 hp 136 ft-lbs,TRUE,5,5 Speed Manual,23,Gasoline,31,Manual transmission,2009 Hyundai Elantra Touring,Hyundai,2009 Hyundai Elantra Touring,2009,138,136,,,,,,2,,,,,,
238,123,229,Front-wheel drive,Hyundai 2.0L 4 cylinder 138 hp 136 ft-lbs,TRUE,4,4 Speed Automatic,23,Gasoline,30,Automatic transmission,2009 Hyundai Elantra Touring AT,Hyundai,2009 Hyundai Elantra Touring,2009,138,136,,,,,,3,,,,,,
210,38,97,Rear-wheel drive,Hyundai 4.6L 8 Cylinder 385 hp 333 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,16,Gasoline,24,Automatic transmission,2011 Hyundai Equus Ultimate,Hyundai,2011 Hyundai Equus,2011,385,333,,,,,,10,,,,,,
210,38,97,Rear-wheel drive,Hyundai 4.6L 8 Cylinder 385 hp 333 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,16,Gasoline,24,Automatic transmission,2011 Hyundai Equus Signature,Hyundai,2011 Hyundai Equus,2011,385,333,,,,,,1,,,,,,
200,122,97,Rear-wheel drive,Hyundai 4.6L 8 Cylinder 385 hp 333 ft-lbs,TRUE,8,8 Speed Automatic Select Shift,17,Gasoline,26,Automatic transmission,2012 Hyundai Genesis Sedan 4.6,Hyundai,2012 Hyundai Genesis Sedan,2012,385,333,,,,,,7,,,,,,
195,122,97,Rear-wheel drive,Hyundai 3.8L 6 Cylinder 333 hp 291 ft-lbs,TRUE,8,8 Speed Automatic Select Shift,19,Gasoline,29,Automatic transmission,2012 Hyundai Genesis Sedan 3.8,Hyundai,2012 Hyundai Genesis Sedan,2012,333,291,,,,,,1,,,,,,
200,122,97,Rear-wheel drive,Hyundai 5.0L 8 Cylinder 429 hp 376 ft-lbs,TRUE,8,8 Speed Automatic Select Shift,17,Gasoline,26,Automatic transmission,2012 Hyundai Genesis Sedan 5.0 R-Spec,Hyundai,2012 Hyundai Genesis Sedan,2012,429,376,,,,,,6,,,,,,
119,128,229,Front-wheel drive,Kia 2.0L 4 Cylinder 156 hp 144 ft-lbs,TRUE,5,5 Speed Manual,25,Gasoline,34,Manual transmission,2010 Kia Forte Koup EX,Kia,2010 Kia Forte Koup,2010,156,144,,,,,,1,,,,,,
119,128,229,Front-wheel drive,Kia 2.0L 4 Cylinder 156 hp 144 ft-lbs,TRUE,4,4 Speed Automatic Select Shift,25,Gasoline,34,Automatic transmission,2010 Kia Forte Koup EX AT,Kia,2010 Kia Forte Koup,2010,156,144,,,,,,5,,,,,,
119,128,229,Front-wheel drive,Kia 2.4L 4 Cylinder 173 hp 168 ft-lbs,TRUE,6,6 Speed Manual,22,Gasoline,32,Manual transmission,2010 Kia Forte Koup SX,Kia,2010 Kia Forte Koup,2010,173,168,,,,,,1,,,,,,
119,128,229,Front-wheel drive,Kia 2.4L 4 Cylinder 173 hp 168 ft-lbs,TRUE,5,5 Speed Automatic Select Shift,23,Gasoline,31,Automatic transmission,2010 Kia Forte Koup SX AT,Kia,2010 Kia Forte Koup,2010,173,168,,,,,,1,,,,,,
175,235,39,Front-wheel drive,Kia 2.4L 4 Cylinder 200 hp 186 ft-lbs,TRUE,6,6 Speed Manual,24,Gasoline,35,Manual transmission,2011 Kia Optima LX MT,Kia,2011 Kia Optima,2011,200,186,,,,,,9,,,,,,
175,235,39,Front-wheel drive,Kia 2.4L 4 Cylinder 200 hp 186 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,24,Gasoline,34,Automatic transmission,2011 Kia Optima LX AT,Kia,2011 Kia Optima,2011,200,186,,,,,,10,,,,,,
175,235,39,Front-wheel drive,Kia 2.4L 4 Cylinder 200 hp 186 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,24,Gasoline,34,Automatic transmission,2011 Kia Optima EX,Kia,2011 Kia Optima,2011,200,186,,,,,,8,,,,,,
175,235,39,Front-wheel drive,Kia 2.0L 4 Cylinder 274 hp 269 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,22,Gasoline,34,Automatic transmission,2011 Kia Optima EX Turbo,Kia,2011 Kia Optima,2011,274,269,,,,,,4,,,,,,
175,235,39,Front-wheel drive,Kia 2.0L 4 Cylinder 274 hp 269 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,22,Gasoline,34,Automatic transmission,2011 Kia Optima SX,Kia,2011 Kia Optima,2011,274,269,,,,,,1,,,,,,
117,105,214,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Manual,26,Gasoline,34,Manual transmission,2010 Honda Civic DX Coup,Honda,2010 Honda Civic Coup,2010,140,128,,,,,,10,,,,,,
117,105,214,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Automatic,25,Gasoline,36,Automatic transmission,2010 Honda Civic DX Coup AT,Honda,2010 Honda Civic Coup,2010,140,128,,,,,,8,,,,,,
117,105,214,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Manual,26,Gasoline,34,Manual transmission,2010 Honda Civic LX Coup,Honda,2010 Honda Civic Coup,2010,140,128,,,,,,6,,,,,,
117,105,214,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Automatic,25,Gasoline,36,Automatic transmission,2010 Honda Civic LX Coup AT,Honda,2010 Honda Civic Coup,2010,140,128,,,,,,8,,,,,,
117,105,214,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Manual,26,Gasoline,34,Manual transmission,2010 Honda Civic EX Coup,Honda,2010 Honda Civic Coup,2010,140,128,,,,,,3,,,,,,
117,105,214,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Automatic,25,Gasoline,36,Automatic transmission,2010 Honda Civic EX Coup AT,Honda,2010 Honda Civic Coup,2010,140,128,,,,,,4,,,,,,
117,105,214,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Manual,26,Gasoline,34,Manual transmission,2010 Honda Civic EX-L Coup,Honda,2010 Honda Civic Coup,2010,140,128,,,,,,0,,,,,,
117,105,214,Front-wheel drive,Honda 1.8L 4 Cylinder 140hp 128 ft-lbs,TRUE,5,5 Speed Automatic,25,Gasoline,36,Automatic transmission,2010 Honda Civic EX-L Coup AT,Honda,2010 Honda Civic Coup,2010,140,128,,,,,,4,,,,,,
117,105,214,Front-wheel drive,Honda 2.0L 4 Cyinder 197 hp 139 ft-lbs,TRUE,6,6 Speed Manual,21,Gasoline,29,Manual transmission,2010 Honda Civic Si Coup,Honda,2010 Honda Civic Coup,2010,197,139,,,,,,1,,,,,,
170,235,39,Front-wheel drive,Kia 2.4L 4 Cylinder 166 hp 154 ft-lbs Hybrid,TRUE,6,6 Speed Automatic Select Shift,36,Gasoline,40,Automatic transmission,2011 Kia Optima Hybrid,Kia,2011 Kia Optima Hybrid,2011,166,154,,,,,,8,,,,,,
200,192,13,Front-wheel drive,Kia 2.4L 4 Cylinder 175 hp 169 ft-lbs,TRUE,5,5 Speed Manual,22,Gasoline,32,Manual transmission,2010 Kia Optima LX,Kia,2010 Kia Optima,2010,175,169,,,,,,8,,,,,,
200,192,13,Front-wheel drive,Kia 2.4L 4 Cylinder 175 hp 169 ft-lbs,TRUE,5,5 Speed Automatic Select Shift,22,Gasoline,32,Automatic transmission,2010 Kia Optima LX AT,Kia,2010 Kia Optima,2010,175,169,,,,,,2,,,,,,
200,192,13,Front-wheel drive,Kia 2.4L 4 Cylinder 175 hp 169 ft-lbs,TRUE,5,5 Speed Automatic Select Shift,22,Gasoline,32,Automatic transmission,2010 Kia Optima EX,Kia,2010 Kia Optima,2010,175,169,,,,,,8,,,,,,
200,192,13,Front-wheel drive,Kia 2.7L 6 Cylinder 194 hp 184 ft-lbs,TRUE,5,5 Speed Automatic Select Shift,20,Gasoline,28,Automatic transmission,2010 Kia Optima EX V6,Kia,2010 Kia Optima,2010,194,184,,,,,,3,,,,,,
200,192,13,Front-wheel drive,Kia 2.4L 4 Cylinder 175 hp 169 ft-lbs,TRUE,5,5 Speed Automatic Select Shift,22,Gasoline,32,Automatic transmission,2010 Kia Optima SX,Kia,2010 Kia Optima,2010,175,169,,,,,,7,,,,,,
200,192,13,Front-wheel drive,Kia 2.7L 6 Cylinder 194 hp 184 ft-lbs,TRUE,5,5 Speed Automatic Select Shift,20,Gasoline,28,Automatic transmission,2010 Kia Optima SX V6,Kia,2010 Kia Optima,2010,194,184,,,,,,3,,,,,,
190,143,158,Front-wheel drive,Kia 1.6L 4 Cylinder  110 hp 107 ft-lbs,TRUE,5,5 Speed Manual,28,Gasoline,34,Manual transmission,2011 Kia Rio,Kia,2011 Kia Rio,2011,110,107,,,,,,7,,,,,,
190,143,158,Front-wheel drive,Kia 1.6L 4 Cylinder  110 hp 107 ft-lbs,TRUE,4,4 Speed Automatic,27,Gasoline,36,Automatic transmission,2011 Kia Rio LX,Kia,2011 Kia Rio,2011,110,107,,,,,,7,,,,,,
190,143,158,Front-wheel drive,Kia 1.6L 4 Cylinder  110 hp 107 ft-lbs,TRUE,4,4 Speed Automatic,27,Gasoline,36,Automatic transmission,2011 Kia Rio SX,Kia,2011 Kia Rio,2011,110,107,,,,,,4,,,,,,
195,111,97,Rear-wheel drive,Hyundai 3.8L 6 cylinder 290hp 264 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,27,Automatic transmission,2011 Hyundai Genesis Sedan 3.8,Hyundai,2011 Hyundai Genesis Sedan,2011,290,264,,,,,,2,,,,,,
200,111,97,Rear-wheel drive,Hyundai 4.6L 8 Cylinder 385 hp 333 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,17,Gasoline,25,Automatic transmission,2011 Hyundai Genesis Sedan 4.6,Hyundai,2011 Hyundai Genesis Sedan,2011,385,333,,,,,,9,,,,,,
200,111,97,Rear-wheel drive,Hyundai 4.6L 8 cylinder 368hp 324 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,17,Gasoline,25,Automatic transmission,2010 Hyundai Genesis Sedan 4.6,Hyundai,2010 Hyundai Genesis Sedan,2010,368,324,,,,,,8,,,,,,
195,111,97,Rear-wheel drive,Hyundai 3.8L 6 cylinder 290hp 264 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,27,Automatic transmission,2010 Hyundai Genesis Sedan 3.8,Hyundai,2010 Hyundai Genesis Sedan,2010,290,264,,,,,,7,,,,,,
104,22,72,Rear-wheel drive,Hyundai 2.0L 4 Cylinder 210 hp 223 ft-lbs Turbo,TRUE,6,6 Speed Manual,21,Gasoline,30,Manual transmission,2012 Hyundai Genesis Coupe 2.0T,Hyundai,2012 Hyundai Genesis Coupe,2012,210,223,,,,,,6,,,,,,
104,22,72,Rear-wheel drive,Hyundai 3.8L 6 Cylinder 306 hp 266 ft-lbs,TRUE,6,6 Speed Manual,17,Gasoline,26,Manual transmission,2012 Hyundai Genesis Coupe 3.8 Track,Hyundai,2012 Hyundai Genesis Coupe,2012,306,266,,,,,,9,,,,,,
104,22,72,Rear-wheel drive,Hyundai 3.8L 6 Cylinder 306 hp 266 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,17,Gasoline,27,Automatic transmission,2012 Hyundai Genesis Coupe 3.8 Grand Touring,Hyundai,2012 Hyundai Genesis Coupe,2012,306,266,,,,,,3,,,,,,
104,22,72,Rear-wheel drive,Hyundai 2.0L 4 Cylinder 210 hp 223 ft-lbs Turbo,TRUE,6,6 Speed Manual,21,Gasoline,30,Manual transmission,2012 Hyundai Genesis Coupe 2.0T R-Spec,Hyundai,2012 Hyundai Genesis Coupe,2012,210,223,,,,,,2,,,,,,
104,22,72,Rear-wheel drive,Hyundai 2.0L 4 Cylinder 210 hp 223 ft-lbs Turbo,TRUE,5,5 Speed Automatic Select Shift,20,Gasoline,30,Automatic transmission,2012 Hyundai Genesis Coupe 2.0T AT,Hyundai,2012 Hyundai Genesis Coupe,2012,210,223,,,,,,3,,,,,,
104,22,72,Rear-wheel drive,Hyundai 3.8L 6 Cylinder 306 hp 266 ft-lbs,TRUE,6,6 Speed Manual,17,Gasoline,26,Manual transmission,2012 Hyundai Genesis Coupe 3.8 R-Spec,Hyundai,2012 Hyundai Genesis Coupe,2012,306,266,,,,,,10,,,,,,
104,22,72,Rear-wheel drive,Hyundai 3.8L 6 Cylinder 306 hp 266 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,17,Gasoline,27,Automatic transmission,2012 Hyundai Genesis Coupe 3.8 Track AT,Hyundai,2012 Hyundai Genesis Coupe,2012,306,266,,,,,,1,,,,,,
104,22,72,Rear-wheel drive,Hyundai 2.0L 4 Cylinder 210 hp 223 ft-lbs Turbo,TRUE,5,5 Speed Automatic Select Shift,20,Gasoline,30,Automatic transmission,2012 Hyundai Genesis Coupe 2.0T Premium,Hyundai,2012 Hyundai Genesis Coupe,2012,210,223,,,,,,4,,,,,,
104,22,72,Rear-wheel drive,Hyundai 2.0L 4 Cylinder 210 hp 223 ft-lbs Turbo,TRUE,5,5 Speed Automatic Select Shift,20,Gasoline,30,Automatic transmission,2011 Hyundai Genesis Coupe 2.0T AT,Hyundai,2011 Hyundai Genesis Coupe,2011,210,223,,,,,,5,,,,,,
104,22,72,Rear-wheel drive,Hyundai 2.0L 4 Cylinder 210 hp 223 ft-lbs Turbo,TRUE,6,6 Speed Manual,21,Gasoline,30,Manual transmission,2011 Hyundai Genesis Coupe 2.0T,Hyundai,2011 Hyundai Genesis Coupe,2011,210,223,,,,,,6,,,,,,
104,22,72,Rear-wheel drive,Hyundai 2.0L 4 Cylinder 210 hp 223 ft-lbs Turbo,TRUE,5,5 Speed Automatic Select Shift,20,Gasoline,30,Automatic transmission,2011 Hyundai Genesis Coupe 2.0T Premium,Hyundai,2011 Hyundai Genesis Coupe,2011,210,223,,,,,,8,,,,,,
104,22,72,Rear-wheel drive,Hyundai 3.8L 6 Cylinder 306 hp 266 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,17,Gasoline,27,Automatic transmission,2011 Hyundai Genesis Coupe 3.8 Grand Touring,Hyundai,2011 Hyundai Genesis Coupe,2011,306,266,,,,,,0,,,,,,
104,22,72,Rear-wheel drive,Hyundai 3.8L 6 Cylinder 306 hp 266 ft-lbs,TRUE,6,6 Speed Manual,17,Gasoline,26,Manual transmission,2011 Hyundai Genesis Coupe 3.8 R-Spec,Hyundai,2011 Hyundai Genesis Coupe,2011,306,266,,,,,,2,,,,,,
